loc,alpha,k,rep,bac
0.0005,0.8,2.75,3,0.5073327973942288
0.0005,0.8,2.0,1,0.5063680313828913
0.0005,0.8,2.0,3,0.5065433393850469
0.0005,0.8,2.0,9,0.5074902827957869
0.0005,0.8,2.75,1,0.5038397285737368
0.0005,0.8,2.75,8,0.5007425421358299
0.0005,0.8,2.75,2,0.505129833318018
0.0005,0.8,2.75,9,0.5017715534787525
0.0005,0.8,2.0,0,0.5084971679408198
0.0005,0.8,2.0,6,0.5193991145877335
0.0005,0.8,2.75,5,0.5002565978179219
0.0005,0.8,2.0,4,0.5169784932848073
0.0005,0.8,2.0,8,0.5007353970671657
0.0005,0.8,2.0,2,0.5197042802675511
0.0005,0.8,2.75,7,0.5048435511984647
0.0005,0.8,2.75,6,0.5032840545148729
0.0005,0.8,2.0,5,0.5137360882437134
0.0005,0.8,2.75,4,0.5016612428902862
0.0005,0.8,2.75,0,0.5036240641581605
0.0005,0.8,2.0,7,0.5141619964264644
0.0005,0.8,4.0,0,0.5054222806556077
0.0005,0.8,4.0,1,0.5050870863247122
0.0005,0.8,4.0,2,0.5013304143888538
0.0005,0.8,4.0,4,0.5000389027830259
0.0005,0.8,4.0,8,0.5034121877911247
0.0005,0.8,4.0,3,0.5028800451236745
0.0005,0.8,4.0,5,0.5006170595162849
0.0005,0.8,4.0,6,0.5000192807897411
0.0005,0.8,4.0,9,0.5020676111776755
0.0005,0.8,4.0,7,0.5011037274151589
0.0005,0.8,6.0,0,0.5010936368402198
0.0005,0.8,6.0,2,0.512636719145126
0.0005,0.8,6.0,1,0.5021341897266243
0.0005,0.8,6.0,8,0.5035033136668443
0.0005,0.8,6.0,3,0.5002863391328065
0.0005,0.8,6.0,4,0.5085677075922743
0.0005,0.8,6.0,5,0.5076512258099222
0.0005,0.8,6.0,6,0.5023283353686167
0.0005,0.8,6.0,7,0.5030553758362084
0.0005,0.8,6.0,9,0.5047012930004071
0.0005,1.1,2.0,0,0.5042931744854239
0.0005,1.1,2.0,1,0.5125359646572282
0.0005,1.1,2.0,2,0.5097286099049928
0.0005,1.1,2.0,4,0.510458124696147
0.0005,1.1,2.0,3,0.519263234079382
0.0005,1.1,2.0,6,0.5053865406327043
0.0005,1.1,2.0,8,0.5102231682446469
0.0005,1.1,2.75,3,0.5035153128195691
0.0005,1.1,2.75,1,0.5070389871196729
0.0005,1.1,2.0,7,0.5089353116644046
0.0005,1.1,2.75,0,0.5073300714221552
0.0005,1.1,2.0,9,0.5000508588084634
0.0005,1.1,2.0,5,0.5154577871574133
0.0005,1.1,2.75,7,0.5061780543847793
0.0005,1.1,2.75,2,0.5035947994091189
0.0005,1.1,2.75,4,0.5090652689841278
0.0005,1.1,2.75,6,0.5095798323899348
0.0005,1.1,2.75,5,0.5013583954675483
0.0005,1.1,2.75,8,0.5089445309569425
0.0005,1.1,2.75,9,0.5041306197482501
0.0005,1.1,4.0,0,0.5065963699994435
0.0005,1.1,4.0,1,0.5065298947894861
0.0005,1.1,4.0,2,0.5006377240873251
0.0005,1.1,4.0,3,0.5024481379974963
0.0005,1.1,4.0,7,0.5085960581067855
0.0005,1.1,4.0,5,0.5074129592664672
0.0005,1.1,4.0,6,0.503117327685742
0.0005,1.1,4.0,4,0.5102356644145077
0.0005,1.1,4.0,8,0.5062847553964993
0.0005,1.1,6.0,3,0.505749425008429
0.0005,1.1,6.0,1,0.558007770824228
0.0005,1.1,4.0,9,0.5017263478724889
0.0005,1.1,6.0,0,0.503754796975526
0.0005,1.1,6.0,5,0.5076173249595431
0.0005,1.1,6.0,2,0.5033989700832492
0.0005,1.1,6.0,4,0.5095143219675171
0.0005,1.1,6.0,7,0.5064780062840777
0.0005,1.1,6.0,6,0.5256321698936789
0.0005,1.1,6.0,8,0.5198713759639231
0.0005,1.1,6.0,9,0.5073633108738114
0.0005,1.4,2.0,0,0.5005165536928575
0.0005,1.4,2.0,1,0.5130994550181763
0.0005,1.4,2.0,2,0.5081774556399951
0.0005,1.4,2.0,4,0.5001329478595845
0.0005,1.4,2.0,3,0.5150747794478663
0.0005,1.4,2.0,5,0.5013907753824912
0.0005,1.4,2.0,6,0.5067035545775955
0.0005,1.4,2.0,7,0.5054302258765384
0.0005,1.4,2.0,8,0.5032178309233551
0.0005,1.4,2.0,9,0.5025673642578102
0.0005,1.4,2.75,0,0.5022270497503697
0.0005,1.4,2.75,2,0.5026978195948348
0.0005,1.4,2.75,6,0.5080324090074729
0.0005,1.4,2.75,1,0.5021413634231583
0.0005,1.4,2.75,5,0.5127990319165899
0.0005,1.4,2.75,4,0.5033851925041382
0.0005,1.4,2.75,3,0.5120006269758481
0.0005,1.4,2.75,7,0.5074032983598665
0.0005,1.4,2.75,8,0.5032128708756891
0.0005,1.4,4.0,0,0.5149949781211107
0.0005,1.4,2.75,9,0.502788829704698
0.0005,1.4,4.0,1,0.5034331840854274
0.0005,1.4,4.0,2,0.5040915203816853
0.0005,1.4,4.0,4,0.5015890706233198
0.0005,1.4,4.0,3,0.5087582441295421
0.0005,1.4,4.0,5,0.5050623935745441
0.0005,1.4,4.0,8,0.5019661138943545
0.0005,1.4,4.0,7,0.504441493130009
0.0005,1.4,4.0,9,0.5008132506577025
0.0005,1.4,6.0,2,0.585466797961567
0.0005,1.4,6.0,0,0.5609817522377216
0.0005,1.4,6.0,1,0.5663452820603929
0.0005,1.4,6.0,4,0.5128775716210442
0.0005,1.4,6.0,7,0.6213803766269
0.0005,1.4,4.0,6,0.5087230772972461
0.0005,1.4,6.0,3,0.5131923497570269
0.0005,1.4,6.0,6,0.534963352098902
0.0005,1.4,6.0,8,0.503382787508588
0.0005,1.4,6.0,5,0.6039103490210619
0.0005,1.4,6.0,9,0.605965933343283
0.0005,1.6,2.0,2,0.5010336428331702
0.0005,1.6,2.0,3,0.510848811215417
0.0005,1.6,2.0,0,0.5048610389083293
0.0005,1.6,2.0,1,0.5059966350060523
0.0005,1.6,2.0,5,0.5122972833211338
0.0005,1.6,2.0,6,0.5036149480682729
0.0005,1.6,2.0,4,0.5017701966979942
0.0005,1.6,2.0,9,0.5022427403778597
0.0005,1.6,2.0,7,0.502370291729207
0.0005,1.6,2.0,8,0.50350109364551
0.0005,1.6,2.75,0,0.5040777624568101
0.0005,1.6,2.75,1,0.5106897333126786
0.0005,1.6,2.75,2,0.5016124756195864
0.0005,1.6,2.75,3,0.5051234505911426
0.0005,1.6,2.75,9,0.5045975642442905
0.0005,1.6,2.75,7,0.5015494601151333
0.0005,1.6,2.75,5,0.5001225553764588
0.0005,1.6,4.0,0,0.5008933509227063
0.0005,1.6,2.75,6,0.5030437246709626
0.0005,1.6,4.0,1,0.520142033988694
0.0005,1.6,2.75,4,0.5008240525981635
0.0005,1.6,4.0,3,0.6411319549825574
0.0005,1.6,2.75,8,0.5060438830817164
0.0005,1.6,4.0,4,0.5413618331439625
0.0005,1.6,4.0,7,0.5108851267427388
0.0005,1.6,4.0,5,0.5611971186758704
0.0005,1.6,4.0,8,0.5517047368825214
0.0005,1.6,4.0,9,0.5029531427781953
0.0005,1.6,4.0,2,0.5073685077703367
0.0005,1.6,4.0,6,0.5027004306096378
0.0005,1.6,6.0,1,0.5505091668685957
0.0005,1.6,6.0,0,0.5958549563609195
0.0005,1.6,6.0,2,0.5839621747244397
0.0005,1.6,6.0,4,0.507837840152707
0.0005,1.6,6.0,3,0.5067154853540934
0.0005,1.6,6.0,7,0.6164974786879169
0.0005,1.6,6.0,5,0.5896307665066323
0.0005,1.6,6.0,6,0.6025758015048297
0.0005,1.6,6.0,8,0.5843604157035949
0.0005,1.6,6.0,9,0.591240372196427
0.0006,0.8,2.0,4,0.5201799782024344
0.0006,0.8,2.0,3,0.509800913937871
0.0006,0.8,2.0,1,0.5074890390269202
0.0006,0.8,2.0,6,0.5231223070896984
0.0006,0.8,2.0,5,0.5167487011211376
0.0006,0.8,2.0,7,0.5163086103261215
0.0006,0.8,2.0,8,0.5021819909689332
0.0006,0.8,2.0,0,0.5108229825931975
0.0006,0.8,2.75,0,0.5046976128825806
0.0006,0.8,2.0,9,0.5084694174168016
0.0006,0.8,2.75,1,0.5044753010778924
0.0006,0.8,2.75,3,0.5074291550739358
0.0006,0.8,2.0,2,0.5258766866160074
0.0006,0.8,2.75,5,0.5025042602202058
0.0006,0.8,2.75,4,0.5022470659717156
0.0006,0.8,2.75,2,0.5052904118651981
0.0006,0.8,2.75,6,0.5036305487072751
0.0006,0.8,4.0,0,0.5055773683125719
0.0006,0.8,2.75,9,0.5008198243813226
0.0006,0.8,4.0,1,0.5053963256726559
0.0006,0.8,2.75,7,0.5054788695680947
0.0006,0.8,2.75,8,0.5023924029909927
0.0006,0.8,4.0,2,0.5033440888709232
0.0006,0.8,4.0,3,0.503076545891832
0.0006,0.8,4.0,5,0.5006170595162849
0.0006,0.8,4.0,4,0.5007562628978035
0.0006,0.8,6.0,1,0.5028993390003935
0.0006,0.8,4.0,6,0.500212888719922
0.0006,0.8,6.0,3,0.5028078119139752
0.0006,0.8,4.0,8,0.5031131149170344
0.0006,0.8,6.0,0,0.5020731775844759
0.0006,0.8,4.0,9,0.5029931454373016
0.0006,0.8,6.0,5,0.6909032931614261
0.0006,0.8,6.0,4,0.5091850091087344
0.0006,0.8,4.0,7,0.5002139651204645
0.0006,0.8,6.0,7,0.5041625595532078
0.0006,0.8,6.0,6,0.503394699046873
0.0006,0.8,6.0,2,0.5143926329332614
0.0006,0.8,6.0,8,0.502198031123079
0.0006,0.8,6.0,9,0.5051622641128841
0.0006,1.1,2.0,3,0.522345988842698
0.0006,1.1,2.0,4,0.5063305674335118
0.0006,1.1,2.0,0,0.5084782753080072
0.0006,1.1,2.0,1,0.5140208397985397
0.0006,1.1,2.0,2,0.5108291042149121
0.0006,1.1,2.0,6,0.5081862553090174
0.0006,1.1,2.0,8,0.5124792349254477
0.0006,1.1,2.0,5,0.5169752404518875
0.0006,1.1,2.0,7,0.5103061310657108
0.0006,1.1,2.0,9,0.5011514822456031
0.0006,1.1,2.75,1,0.5055290090430697
0.0006,1.1,2.75,0,0.5092268177266297
0.0006,1.1,2.75,2,0.5040426943031171
0.0006,1.1,2.75,5,0.5014071854753548
0.0006,1.1,2.75,3,0.5048096021519388
0.0006,1.1,2.75,8,0.5084454561608337
0.0006,1.1,2.75,6,0.5123245048117171
0.0006,1.1,2.75,4,0.5108804620337855
0.0006,1.1,2.75,9,0.5030038014733065
0.0006,1.1,4.0,1,0.5052837326545996
0.0006,1.1,4.0,5,0.5082084885487971
0.0006,1.1,4.0,6,0.5030173235895742
0.0006,1.1,2.75,7,0.5053252594923798
0.0006,1.1,4.0,4,0.5099282243653173
0.0006,1.1,4.0,2,0.5006377240873251
0.0006,1.1,4.0,3,0.5022316787118106
0.0006,1.1,4.0,0,0.5064181529979928
0.0006,1.1,4.0,8,0.5060838234655435
0.0006,1.1,4.0,7,0.5094155272366553
0.0006,1.1,4.0,9,0.5018240231997012
0.0006,1.1,6.0,2,0.5030520174190648
0.0006,1.1,6.0,3,0.5066782421394986
0.0006,1.1,6.0,0,0.6169212173410179
0.0006,1.1,6.0,1,0.583945506279931
0.0006,1.1,6.0,4,0.506595202414342
0.0006,1.1,6.0,5,0.5098013081965932
0.0006,1.1,6.0,8,0.5367911335627935
0.0006,1.1,6.0,7,0.5084798662553447
0.0006,1.1,6.0,6,0.6462419100686364
0.0006,1.4,2.0,0,0.5010577273324196
0.0006,1.4,2.0,1,0.514412676708181
0.0006,1.1,6.0,9,0.5058612900691468
0.0006,1.4,2.0,3,0.5146270597280218
0.0006,1.4,2.0,2,0.5079347352783022
0.0006,1.4,2.0,4,0.5014074542615137
0.0006,1.4,2.0,6,0.5055367867867868
0.0006,1.4,2.0,5,0.5187764282544336
0.0006,1.4,2.0,7,0.5060441552478219
0.0006,1.4,2.0,8,0.5035717093241266
0.0006,1.4,2.75,0,0.500895606834117
0.0006,1.4,2.0,9,0.501289230271595
0.0006,1.4,2.75,1,0.5014671810237097
0.0006,1.4,2.75,2,0.5026978195948348
0.0006,1.4,2.75,3,0.512166153486748
0.0006,1.4,2.75,4,0.5039028256508141
0.0006,1.4,2.75,5,0.5151062509485834
0.0006,1.4,2.75,6,0.5085808314708571
0.0006,1.4,2.75,9,0.5003200713011878
0.0006,1.4,2.75,8,0.5003354582237535
0.0006,1.4,4.0,0,0.5170013187027691
0.0006,1.4,2.75,7,0.5070676313415488
0.0006,1.4,4.0,1,0.5035821258336208
0.0006,1.4,4.0,2,0.5045910614165467
0.0006,1.4,4.0,4,0.5016891292216373
0.0006,1.4,4.0,5,0.5050086405142619
0.0006,1.4,4.0,3,0.5080025243268592
0.0006,1.4,4.0,6,0.5124940317555408
0.0006,1.4,4.0,7,0.5040844371133444
0.0006,1.4,4.0,9,0.5013302034804594
0.0006,1.4,4.0,8,0.5024153432114483
0.0006,1.4,6.0,0,0.6320027604352434
0.0006,1.4,6.0,3,0.5128248146081046
0.0006,1.4,6.0,4,0.63617338858329
0.0006,1.4,6.0,5,0.6180485245645482
0.0006,1.4,6.0,2,0.6333721661911511
0.0006,1.4,6.0,1,0.6008179955049038
0.0006,1.4,6.0,9,0.6382093172856833
0.0006,1.4,6.0,7,0.6397801747949018
0.0006,1.4,6.0,8,0.615174651828404
0.0006,1.4,6.0,6,0.6485159232122149
0.0006,1.6,2.0,0,0.5058438459722112
0.0006,1.6,2.0,1,0.5042594198364475
0.0006,1.6,2.0,3,0.510848811215417
0.0006,1.6,2.0,2,0.5014388217835732
0.0006,1.6,2.0,4,0.5003988235670338
0.0006,1.6,2.0,8,0.5060553031914636
0.0006,1.6,2.0,5,0.5126049125253996
0.0006,1.6,2.0,9,0.502603654814233
0.0006,1.6,2.0,6,0.5038072759460227
0.0006,1.6,2.0,7,0.502753911178713
0.0006,1.6,2.75,0,0.5042248068642212
0.0006,1.6,2.75,1,0.5118994366607169
0.0006,1.6,2.75,2,0.5009894068559975
0.0006,1.6,2.75,3,0.5051234505911426
0.0006,1.6,2.75,6,0.5030437246709626
0.0006,1.6,2.75,7,0.5016496427771792
0.0006,1.6,2.75,8,0.5060438830817164
0.0006,1.6,2.75,4,0.5005262982212904
0.0006,1.6,2.75,5,0.5011934540219617
0.0006,1.6,2.75,9,0.5053098677214721
0.0006,1.6,4.0,0,0.500383044753911
0.0006,1.6,4.0,1,0.526947450751898
0.0006,1.6,4.0,2,0.6229159202126775
0.0006,1.6,4.0,4,0.6312767509164067
0.0006,1.6,4.0,5,0.6460969354591848
0.0006,1.6,4.0,3,0.6562411936671594
0.0006,1.6,4.0,7,0.5102095149064337
0.0006,1.6,6.0,0,0.6313768675682663
0.0006,1.6,4.0,6,0.5035036635100574
0.0006,1.6,4.0,9,0.6105503001119954
0.0006,1.6,4.0,8,0.5745852467642214
0.0006,1.6,6.0,1,0.639049120621365
0.0006,1.6,6.0,4,0.6413603762907709
0.0006,1.6,6.0,3,0.6468557734032695
0.0006,1.6,6.0,2,0.6157082159944913
0.0006,1.6,6.0,5,0.6503179715652315
0.0006,1.6,6.0,6,0.626907198118835
0.0006,1.6,6.0,7,0.6366070142029261
0.0006,1.6,6.0,8,0.614008800624574
0.0006,1.6,6.0,9,0.6103892588918066
0.0008,0.8,2.0,0,0.5119354920581465
0.0008,0.8,2.0,1,0.5110044704936006
0.0008,0.8,2.0,2,0.5288199366324002
0.0008,0.8,2.0,3,0.5145066076212336
0.0008,0.8,2.0,6,0.5254797636511191
0.0008,0.8,2.0,5,0.5191187588014132
0.0008,0.8,2.0,4,0.525901518965567
0.0008,0.8,2.0,7,0.5216198793097466
0.0008,0.8,2.75,2,0.5065984307593355
0.0008,0.8,2.75,1,0.5062034315662518
0.0008,0.8,2.75,5,0.5041714055812887
0.0008,0.8,2.0,9,0.5150327151311589
0.0008,0.8,2.0,8,0.5036265798514323
0.0008,0.8,2.75,3,0.5085296975730803
0.0008,0.8,2.75,4,0.5021958259635173
0.0008,0.8,2.75,0,0.5063372203003735
0.0008,0.8,2.75,6,0.5048331579661502
0.0008,0.8,2.75,7,0.5056749570925172
0.0008,0.8,2.75,8,0.5023419375060194
0.0008,0.8,4.0,0,0.5062017405652057
0.0008,0.8,2.75,9,0.5011038952904483
0.0008,0.8,4.0,1,0.5061853822656276
0.0008,0.8,4.0,4,0.5026105888652631
0.0008,0.8,4.0,3,0.5021573625258714
0.0008,0.8,4.0,2,0.5014134962241316
0.0008,0.8,4.0,7,0.500422886043895
0.0008,0.8,4.0,5,0.5009734787283571
