loc,alpha,k,clip_factor,jump_penalty,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0014,0.8,4.0,20,100,0,jump,0.7871489110315459,0.004056353177810915,0.003162694011694465,0.002798487162881799,0.8848428436434367,10.451916586938575,36.7,
0.0014,0.8,4.0,20,100,0,kmeans,0.7919239752052227,0.004056353177810915,0.003162694011694465,0.002798487162881799,0.8848428436434367,10.451916586938575,0.2,
0.0008,0.8,2.0,12,30,9,jump,0.5236883980561949,0.005930386557903696,0.0032508377166964794,0.0015844511580105733,0.4873978020719847,7.528739631454673,36.5,
0.0008,0.8,2.0,12,30,9,kmeans,0.502781305442655,0.005930386557903696,0.0032508377166964794,0.0015844511580105733,0.4873978020719847,7.528739631454673,0.4,
0.0012,0.8,2.75,20,0.3,1,jump,0.5004193110667996,0.0052364838001791175,0.0032311639685365895,0.0023769079825211887,0.7356197350757481,16.295098122338008,36.7,
0.0012,0.8,2.75,20,0.3,1,kmeans,0.5000201803987577,0.0052364838001791175,0.0032311639685365895,0.0023769079825211887,0.7356197350757481,16.295098122338008,0.2,
0.001,1.6,2.0,8,100,6,jump,0.6844083533661538,0.004795730774802191,0.004313691587232854,0.0019891084136961783,0.46111511995509885,1.5138947402034253,36.7,
0.001,1.6,2.0,8,100,6,kmeans,0.6841606632207655,0.004795730774802191,0.004313691587232854,0.0019891084136961783,0.46111511995509885,1.5138947402034253,0.4,
0.001,1.4,2.75,20,100,9,jump,0.5003476369154544,0.004964277281696728,0.004160601412553952,0.0019908140065107464,0.4784918835300547,6.037324475287976,36.7,
0.001,1.4,2.75,20,100,9,kmeans,0.6884721481636058,0.004964277281696728,0.004160601412553952,0.0019908140065107464,0.4784918835300547,6.037324475287976,0.7,
0.0018,1.1,2.0,20,0.3,3,jump,0.7770243634915313,0.0064669473427965175,0.004443933776462772,0.0036399951203611603,0.8190930161111624,11.657247696276498,37.2,
0.0018,1.1,2.0,20,0.3,3,kmeans,0.7757641428378524,0.0064669473427965175,0.004443933776462772,0.0036399951203611603,0.8190930161111624,11.657247696276498,0.3,
0.002,1.6,2.0,12,100,9,jump,0.7852323570163083,0.005254543103513576,0.004732371130271676,0.003964290605210468,0.8376964730961171,2.826088782582029,37.4,
0.002,1.6,2.0,12,100,9,kmeans,0.8015757445647513,0.005254543103513576,0.004732371130271676,0.003964290605210468,0.8376964730961171,2.826088782582029,0.2,
0.0012,1.6,2.0,20,30,4,jump,0.7506322602769085,0.0051393380657968335,0.004394435723402798,0.002403778856056883,0.5470051236056162,7.269879583023721,37.4,
0.0012,1.6,2.0,20,30,4,kmeans,0.7163687141737687,0.0051393380657968335,0.004394435723402798,0.002403778856056883,0.5470051236056162,7.269879583023721,0.5,
0.0016,0.8,2.0,20,0.03,9,jump,0.5129434616944422,0.007067161195598,0.003795851760108032,0.0031837581165734654,0.8387466944923196,14.333391139116191,37.7,
0.0016,0.8,2.0,20,0.03,9,kmeans,0.5130482810683283,0.007067161195598,0.003795851760108032,0.0031837581165734654,0.8387466944923196,14.333391139116191,0.3,
0.0005,1.4,2.0,8,30,4,jump,0.5161700198104018,0.004889672387562842,0.004085841313256892,0.0009593591076533278,0.2348008730883889,2.2072676211975066,37.5,
0.0005,1.4,2.0,8,30,4,kmeans,0.5086139746881364,0.004889672387562842,0.004085841313256892,0.0009593591076533278,0.2348008730883889,2.2072676211975066,0.5,
0.0012,1.4,2.75,20,0.3,9,jump,0.720279475105879,0.005009036087158835,0.004229793075364683,0.0023908140065107457,0.5652319070725735,5.823645499155111,37.7,
