loc,alpha,k,clip_factor,feature_set,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0005,0.8,2.0,10,all,2,kmeans,0.5059109055719041,0.0054971062974125745,0.003093214470315914,0.0010006659413067903,0.3235035756200219,5.949211531087959,4.8,
0.0005,0.8,2.0,10,all,11,kmeans,0.5054863088344693,0.005550190990272427,0.003123940604623142,0.0009916160832691987,0.3174247557081268,5.9130271678002195,5.6,
0.0005,0.8,2.0,10,all,14,kmeans,0.5005167406826508,0.005520012779452446,0.003129458481503503,0.0009695605066436465,0.3098173413624696,5.91540854587242,7.0,
0.0005,0.8,2.0,10,all,15,kmeans,0.5003435186922724,0.005507532010335338,0.0031159892503481884,0.0009819014121171077,0.3151170730153795,5.913024931207195,7.1,
0.0005,0.8,2.0,10,all,10,kmeans,0.5083677147949438,0.005506521337543643,0.003122757888685922,0.0009531966816322688,0.30524194177390435,5.876975987069487,6.9,
0.0005,0.8,2.0,10,all,9,kmeans,0.5097879342774921,0.005539361838455528,0.0031215721420984497,0.0009880632509356915,0.3165274438512494,5.894295171333207,7.1,
0.0005,0.8,2.0,10,all,12,kmeans,0.5026277533914628,0.005520817004551384,0.0031072313696761675,0.0009967422498891709,0.320781471124582,5.993261025510002,7.7,
0.0005,0.8,2.0,10,all,16,kmeans,0.5072896627233328,0.005516221144262582,0.003093112324821179,0.0009906074001339441,0.32026234294327277,5.882239498019796,8.5,
0.0005,0.8,2.0,10,all,1,kmeans,0.5007736036302146,0.005500161956708429,0.003102788625429976,0.0009649642036041451,0.3109990141434217,5.957664452987629,9.0,
0.0005,0.8,2.0,10,all,6,kmeans,0.5040968078052477,0.00552205660741382,0.003131530933120677,0.0010024164722236815,0.3201042856136629,5.886671588112737,8.7,
0.0005,0.8,2.0,10,all,17,kmeans,0.5074141128195244,0.005523466861031062,0.003135108941013396,0.0010275641111587457,0.327760256658448,5.838752662097878,9.1,
0.0005,0.8,2.0,10,all,5,kmeans,0.5047451584622606,0.005524445394460403,0.0031177777484684118,0.0009911436820711239,0.3179006850497977,5.85136305090626,9.7,
0.0005,0.8,2.0,10,all,0,kmeans,0.5017674290590142,0.005511802541422733,0.0031033342939505806,0.0010113495222571218,0.3258912596778809,5.892692766914488,9.6,
0.0005,0.8,2.0,10,all,13,kmeans,0.5019697586359844,0.005546652434391075,0.0031081595749244276,0.0009813922982093326,0.3157470762205619,5.940769032233138,9.8,
0.0005,0.8,2.0,10,all,7,kmeans,0.5001551078065125,0.005533144617883033,0.0031077127089069235,0.000988752179427215,0.3181607413688471,5.899935849869561,9.7,
0.0005,0.8,2.0,10,all,3,kmeans,0.508600098164261,0.005522768272991148,0.00312051197904071,0.0009869948945399661,0.3162926151763668,5.897976122985996,9.8,
0.0005,0.8,2.0,10,all,8,kmeans,0.5034788184314452,0.0054670504476792905,0.003110821346539202,0.0010015552536762754,0.3219584611602684,5.881363918904109,9.4,
0.0005,0.8,2.0,10,means,0,kmeans,0.5963140318320004,0.005511802541422733,0.0031033342939505806,0.0010113495222571218,0.3258912596778809,5.892692766914488,0.6,
0.0005,0.8,2.0,10,all,18,kmeans,0.5023643581480324,0.005508244534086265,0.0031104011840195015,0.0009744869602543248,0.313299443576927,6.00721304585567,9.9,
0.0005,0.8,2.0,10,all,4,kmeans,0.5046251486720683,0.005510578403830554,0.0030887920094560973,0.001019038826356729,0.3299150034178477,6.0638944872166665,10.1,
0.0005,0.8,2.0,10,means,5,kmeans,0.5825919973820699,0.005524445394460403,0.0031177777484684118,0.0009911436820711239,0.3179006850497977,5.85136305090626,0.2,
0.0005,0.8,2.0,10,means,4,kmeans,0.5856183715431105,0.005510578403830554,0.0030887920094560973,0.001019038826356729,0.3299150034178477,6.0638944872166665,0.3,
