loc,alpha,k,clip_factor,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0011,0.8,4.0,20,2,vae,0.7322863462053877,0.003955454374910605,0.002959758902733729,0.002180085219633407,0.736575272269579,11.507494158535174,908.1,
0.0011,0.8,4.0,20,2,jump,0.500031850703582,0.003955454374910605,0.002959758902733729,0.002180085219633407,0.736575272269579,11.507494158535174,33.9,
0.0011,0.8,4.0,20,2,kmeans,0.7411693174302221,0.003955454374910605,0.002959758902733729,0.002180085219633407,0.736575272269579,11.507494158535174,0.4,
0.0016,1.6,4.0,12,4,vae,0.7762808511176484,0.004661825727100347,0.004463559563467411,0.0032298851531471894,0.7236119754248622,0.7389088203459875,921.9,
0.0016,1.6,4.0,12,4,jump,0.7817734478019708,0.004661825727100347,0.004463559563467411,0.0032298851531471894,0.7236119754248622,0.7389088203459875,34.3,
0.0016,1.6,4.0,12,4,kmeans,0.7819473996751458,0.004661825727100347,0.004463559563467411,0.0032298851531471894,0.7236119754248622,0.7389088203459875,0.6,
0.002,1.6,4.0,12,2,vae,0.8105150842782116,0.004775389298053944,0.004634285883661494,0.00396421382384653,0.8554098567424702,0.6534667171805011,929.7,
0.002,1.6,4.0,12,2,jump,0.804437815031334,0.004775389298053944,0.004634285883661494,0.00396421382384653,0.8554098567424702,0.6534667171805011,35.5,
0.002,1.6,4.0,12,2,kmeans,0.8172987841301415,0.004775389298053944,0.004634285883661494,0.00396421382384653,0.8554098567424702,0.6534667171805011,0.3,
0.0016,1.6,2.75,8,2,vae,0.7697628990624403,0.004786725311623468,0.004464126669139703,0.0032175439056853147,0.7207555125906359,1.066152207461399,932.0,
0.0016,1.6,2.75,8,2,jump,0.7748324610490646,0.004786725311623468,0.004464126669139703,0.0032175439056853147,0.7207555125906359,1.066152207461399,35.0,
0.0016,1.6,2.75,8,2,kmeans,0.77789697374415,0.004786725311623468,0.004464126669139703,0.0032175439056853147,0.7207555125906359,1.066152207461399,0.6,
0.0005,1.1,4.0,20,2,vae,0.5695890872229368,0.00434763637435244,0.0035688991576755162,0.0009980945702525025,0.2796645481298996,5.119687769484186,940.5,
0.0005,1.1,4.0,20,2,jump,0.501611895606774,0.00434763637435244,0.0035688991576755162,0.0009980945702525025,0.2796645481298996,5.119687769484186,34.0,
0.0005,1.1,4.0,20,2,kmeans,0.5129142952767827,0.00434763637435244,0.0035688991576755162,0.0009980945702525025,0.2796645481298996,5.119687769484186,0.6,
0.0014,1.6,4.0,8,2,vae,0.7572072167074171,0.0045419232119367926,0.004366248399411156,0.00276494735377917,0.6332547076689586,0.6113010337933136,940.6,
0.0014,1.6,4.0,8,2,jump,0.7678030257688393,0.0045419232119367926,0.004366248399411156,0.00276494735377917,0.6332547076689586,0.6113010337933136,34.7,
0.0014,1.6,4.0,8,2,kmeans,0.7602576290910266,0.0045419232119367926,0.004366248399411156,0.00276494735377917,0.6332547076689586,0.6113010337933136,0.4,
0.0014,1.1,2.0,8,3,vae,0.7335412530840566,0.005295412250680545,0.004151184112159025,0.002845685672341086,0.6855117950576876,2.679812319430222,942.8,
0.0014,1.1,2.0,8,3,jump,0.7632816874062336,0.005295412250680545,0.004151184112159025,0.002845685672341086,0.6855117950576876,2.679812319430222,33.7,
0.0014,1.1,2.0,8,3,kmeans,0.7423930909440645,0.005295412250680545,0.004151184112159025,0.002845685672341086,0.6855117950576876,2.679812319430222,0.5,
